专家编码,平均分,标准差,原始分1,原始分2,原始分3,原始分4,原始分5,原始分6,原始分7,原始分8,原始分9,原始分10,原始分11,原始分12,原始分13,原始分14,原始分15,原始分16,原始分17,原始分18,原始分19,原始分20,原始分21,原始分22,原始分23,原始分24,原始分25,原始分26,原始分27,原始分28,原始分29,原始分30,原始分31,原始分32,原始分33,原始分34,原始分35,原始分36,原始分37,原始分38,原始分39,原始分40,原始分41,原始分42,原始分43,原始分44,原始分45,原始分46,原始分47,原始分48,原始分49,原始分50,原始分51,原始分52,原始分53,原始分54,原始分55,原始分56,原始分57,原始分58,原始分59,原始分60,原始分61,原始分62,原始分63,原始分64,原始分65,原始分66,原始分67,原始分68,原始分69,原始分70,原始分71,原始分72,原始分73,原始分74,原始分75,原始分76,原始分77,原始分78,原始分79,原始分80,原始分81,原始分82,原始分83,原始分84,原始分85,原始分86,原始分87,原始分88,原始分89,原始分90,原始分91,原始分92,原始分93,原始分94,原始分95,原始分96,原始分97,原始分98,原始分99,原始分100,原始分101,原始分102,原始分103,原始分104,原始分105,原始分106,原始分107,原始分108,原始分109
P005,51.44230769230769,19.812630532148816,90.0,85.0,70.0,65.0,65.0,60.0,70.0,60.0,90.0,75.0,75.0,85.0,80.0,80.0,85.0,80.0,80.0,75.0,50.0,50.0,50.0,40.0,50.0,55.0,55.0,50.0,20.0,50.0,45.0,30.0,30.0,25.0,55.0,30.0,55.0,45.0,40.0,2.0,60.0,75.0,60.0,60.0,30.0,50.0,20.0,50.0,10.0,30.0,60.0,55.0,35.0,20.0,15.0,40.0,40.0,50.0,25.0,60.0,45.0,63.0,45.0,60.0,55.0,15.0,30.0,25.0,70.0,50.0,60.0,10.0,20.0,30.0,35.0,45.0,55.0,40.0,20.0,40.0,50.0,35.0,45.0,45.0,30.0,40.0,65.0,65.0,75.0,60.0,55.0,75.0,65.0,55.0,50.0,70.0,80.0,75.0,35.0,60.0,60.0,65.0,75.0,50.0,70.0,45.0,,,,,
P022,51.97115384615385,15.25158386221571,75.0,64.0,73.0,72.0,78.0,86.0,68.0,64.0,55.0,65.0,67.0,62.0,78.0,58.0,52.0,65.0,70.0,53.0,60.0,54.0,56.0,56.0,54.0,52.0,54.0,55.0,42.0,52.0,43.0,45.0,60.0,46.0,48.0,45.0,43.0,57.0,50.0,35.0,52.0,55.0,67.0,32.0,56.0,58.0,58.0,48.0,5.0,62.0,60.0,50.0,38.0,68.0,45.0,45.0,28.0,45.0,50.0,50.0,35.0,56.0,45.0,53.0,58.0,25.0,54.0,15.0,50.0,45.0,58.0,50.0,61.0,52.0,20.0,15.0,40.0,60.0,30.0,41.0,50.0,52.0,56.0,56.0,60.0,0.0,47.0,0.0,60.0,43.0,68.0,50.0,78.0,62.0,48.0,50.0,61.0,56.0,67.0,65.0,55.0,62.0,52.0,58.0,46.0,56.0,,,,,
P056,56.50485436893204,16.070844253728655,86.0,72.0,78.0,71.0,68.0,72.0,84.0,81.0,81.0,75.0,48.0,77.0,77.0,71.0,70.0,59.0,15.0,57.0,49.0,53.0,60.0,46.0,45.0,63.0,49.0,67.0,44.0,27.0,53.0,26.0,25.0,68.0,55.0,39.0,43.0,49.0,70.0,20.0,78.0,43.0,59.0,55.0,55.0,59.0,26.0,64.0,79.0,25.0,69.0,63.0,65.0,44.0,52.0,53.0,44.0,46.0,48.0,52.0,39.0,54.0,57.0,66.0,59.0,61.0,58.0,23.0,65.0,54.0,79.0,53.0,6.0,56.0,65.0,65.0,56.0,49.0,38.0,51.0,55.0,55.0,78.0,63.0,37.0,59.0,59.0,47.0,37.0,64.0,52.0,66.0,60.0,73.0,72.0,87.0,54.0,73.0,65.0,41.0,68.0,63.0,62.0,45.0,59.0,,,,,,
P069,52.310679611650485,17.54826907625979,80.0,80.0,70.0,66.0,61.0,68.0,69.0,70.0,76.0,68.0,63.0,75.0,59.0,61.0,16.0,54.0,12.0,40.0,45.0,66.0,41.0,41.0,46.0,39.0,46.0,50.0,29.0,34.0,58.0,56.0,60.0,20.0,51.0,57.0,55.0,56.0,62.0,33.0,24.0,49.0,63.0,28.0,28.0,61.0,20.0,66.0,48.0,20.0,68.0,62.0,0.0,17.0,30.0,65.0,47.0,61.0,46.0,54.0,45.0,64.0,58.0,60.0,39.0,50.0,65.0,0.0,28.0,51.0,52.0,52.0,23.0,66.0,56.0,46.0,55.0,30.0,58.0,26.0,61.0,68.0,62.0,65.0,47.0,67.0,74.0,67.0,61.0,54.0,37.0,62.0,65.0,64.0,70.0,49.0,59.0,71.0,73.0,67.0,74.0,66.0,63.0,63.0,65.0,,,,,,
P070,44.98076923076923,20.383212571681263,80.0,72.0,61.0,70.0,54.0,62.0,46.0,60.0,51.0,66.0,70.0,69.0,71.0,66.0,80.0,19.0,48.0,33.0,70.0,61.0,8.0,54.0,51.0,53.0,62.0,50.0,27.0,30.0,18.0,40.0,22.0,2.0,6.0,8.0,2.0,43.0,46.0,50.0,35.0,39.0,54.0,72.0,5.0,56.0,46.0,19.0,55.0,42.0,32.0,37.0,36.0,50.0,16.0,12.0,52.0,47.0,6.0,7.0,7.0,62.0,9.0,56.0,56.0,48.0,12.0,26.0,5.0,26.0,47.0,17.0,35.0,42.0,33.0,55.0,28.0,42.0,58.0,60.0,38.0,41.0,54.0,54.0,32.0,70.0,61.0,56.0,72.0,54.0,60.0,65.0,60.0,60.0,51.0,40.0,56.0,69.0,70.0,64.0,65.0,44.0,66.0,44.0,53.0,56.0,,,,,
P082,56.90384615384615,17.194783150355576,80.0,80.0,83.0,85.0,69.0,65.0,85.0,80.0,83.0,73.0,75.0,67.0,77.0,63.0,78.0,80.0,85.0,87.0,68.0,59.0,64.0,78.0,65.0,55.0,60.0,45.0,53.0,30.0,45.0,40.0,65.0,50.0,10.0,63.0,56.0,55.0,47.0,55.0,60.0,67.0,73.0,58.0,56.0,56.0,60.0,54.0,50.0,50.0,57.0,58.0,40.0,10.0,65.0,62.0,53.0,50.0,64.0,20.0,53.0,64.0,20.0,63.0,67.0,35.0,57.0,30.0,57.0,48.0,55.0,54.0,57.0,60.0,0.0,50.0,58.0,53.0,50.0,50.0,10.0,63.0,50.0,30.0,45.0,40.0,58.0,60.0,55.0,53.0,56.0,64.0,59.0,62.0,53.0,67.0,75.0,76.0,66.0,56.0,75.0,63.0,55.0,60.0,15.0,50.0,,,,,
P090,57.57281553398058,12.858659965668952,85.0,74.0,88.0,68.0,72.0,72.0,68.0,80.0,76.0,64.0,72.0,78.0,68.0,68.0,60.0,64.0,40.0,45.0,40.0,53.0,30.0,68.0,58.0,45.0,58.0,58.0,64.0,45.0,40.0,55.0,48.0,35.0,53.0,58.0,45.0,53.0,30.0,64.0,62.0,30.0,53.0,40.0,35.0,35.0,40.0,57.0,48.0,64.0,53.0,62.0,40.0,53.0,58.0,55.0,53.0,30.0,58.0,60.0,60.0,30.0,62.0,30.0,65.0,40.0,58.0,65.0,53.0,62.0,68.0,64.0,53.0,58.0,35.0,64.0,58.0,53.0,74.0,53.0,58.0,62.0,68.0,60.0,58.0,70.0,64.0,66.0,64.0,64.0,68.0,70.0,68.0,66.0,64.0,74.0,68.0,45.0,65.0,61.0,66.0,58.0,68.0,64.0,58.0,,,,,,
P118,56.44230769230769,17.373021671588788,80.0,68.0,72.0,67.0,70.0,72.0,80.0,70.0,77.0,71.0,68.0,78.0,54.0,81.0,72.0,76.0,72.0,71.0,71.0,56.0,30.0,64.0,75.0,30.0,30.0,46.0,42.0,42.0,70.0,30.0,78.0,40.0,57.0,46.0,73.0,30.0,37.0,52.0,65.0,40.0,30.0,47.0,60.0,20.0,56.0,72.0,66.0,52.0,26.0,43.0,69.0,73.0,64.0,42.0,32.0,40.0,59.0,44.0,48.0,50.0,30.0,68.0,60.0,63.0,48.0,62.0,20.0,65.0,32.0,20.0,30.0,38.0,20.0,72.0,20.0,40.0,60.0,62.0,70.0,69.0,50.0,55.0,40.0,35.0,40.0,47.0,74.0,73.0,66.0,70.0,80.0,78.0,66.0,65.0,64.0,78.0,70.0,78.0,68.0,64.0,68.0,70.0,64.0,62.0,,,,,
P120,53.77669902912621,21.72056585712321,83.0,71.0,86.0,70.0,70.0,74.0,86.0,77.0,69.0,82.0,66.0,78.0,71.0,62.0,66.0,42.0,22.0,77.0,74.0,73.0,77.0,22.0,21.0,40.0,16.0,35.0,68.0,21.0,64.0,14.0,42.0,58.0,73.0,28.0,43.0,68.0,64.0,67.0,36.0,12.0,46.0,43.0,55.0,36.0,74.0,45.0,58.0,51.0,28.0,41.0,73.0,69.0,14.0,18.0,62.0,74.0,62.0,16.0,16.0,2.0,33.0,52.0,19.0,53.0,42.0,41.0,21.0,20.0,42.0,39.0,53.0,60.0,66.0,60.0,10.0,30.0,65.0,74.0,62.0,12.0,64.0,75.0,70.0,72.0,58.0,72.0,49.0,74.0,72.0,69.0,71.0,73.0,54.0,71.0,78.0,70.0,62.0,72.0,64.0,43.0,43.0,79.0,79.0,,,,,,
P125,49.36190476190476,14.555017512821301,78.0,80.0,65.0,54.0,64.0,52.0,80.0,55.0,50.0,73.0,65.0,75.0,69.0,65.0,57.0,35.0,20.0,25.0,50.0,30.0,35.0,50.0,25.0,52.0,45.0,50.0,30.0,55.0,70.0,40.0,30.0,55.0,45.0,48.0,35.0,55.0,36.0,25.0,35.0,50.0,55.0,50.0,30.0,45.0,50.0,55.0,45.0,55.0,30.0,30.0,25.0,50.0,35.0,35.0,40.0,40.0,40.0,53.0,45.0,35.0,57.0,50.0,30.0,50.0,58.0,35.0,55.0,40.0,30.0,30.0,30.0,60.0,60.0,60.0,50.0,20.0,45.0,45.0,48.0,35.0,20.0,50.0,50.0,62.0,65.0,66.0,60.0,60.0,70.0,70.0,60.0,70.0,68.0,55.0,56.0,65.0,35.0,68.0,48.0,60.0,50.0,63.0,50.0,55.0,68.0,,,,
