专家编码,0~10,10~20,20~30,30~40,40~50,50~60,60~70,70~80,80~90,90~100
P005,0,0,3,18,32,33,18,0,0,0
P022,0,3,3,6,29,52,10,1,0,0
P056,0,1,3,10,35,39,15,0,0,0
P069,0,0,5,14,23,50,11,0,0,0
P070,0,0,2,17,24,45,16,0,0,0
P082,0,1,6,4,36,40,17,0,0,0
P090,0,0,6,11,21,54,9,1,0,0
P118,0,0,5,14,25,47,13,0,0,0
P120,0,0,2,18,23,49,11,0,0,0
P125,0,0,3,14,26,42,18,2,0,0
P126,0,1,6,6,23,60,8,0,0,0
P127,0,0,4,15,33,37,15,0,0,0
P132,0,0,0,24,23,36,18,3,0,0
P138,1,1,3,5,42,37,15,0,0,0
P143,0,3,5,7,17,66,6,0,0,0
P150,0,2,5,5,34,43,15,0,0,0
P163,0,0,4,19,30,34,16,1,0,0
P170,1,1,4,6,27,60,4,0,0,0
P200,0,1,5,9,30,46,11,0,0,0
P212,0,0,0,24,21,38,20,0,0,0
P223,0,1,4,10,33,43,14,0,0,0
P225,0,0,6,17,17,56,13,0,0,0
P229,0,1,8,6,23,57,10,0,0,0
P230,0,0,9,6,23,54,10,1,0,0
P233,0,2,3,6,36,42,14,1,0,0
P235,1,4,0,5,20,66,7,0,0,0
P236,0,0,0,21,18,52,12,0,0,0
P240,0,2,2,11,35,39,15,0,0,0
P255,0,0,4,15,20,49,16,0,0,0
P256,0,0,4,7,44,31,15,2,0,0
P266,0,0,11,9,29,44,14,0,0,0
P267,0,1,2,19,23,40,18,0,0,0
P270,0,0,4,13,31,40,16,0,0,0
P282,1,2,3,7,19,68,4,0,0,0
P287,0,0,3,16,30,41,17,0,0,0
P294,0,0,8,3,38,40,14,0,0,0
P297,0,0,6,14,23,48,13,0,0,0
P322,0,0,0,20,29,39,14,2,0,0
P334,0,0,4,15,23,44,16,0,0,0
P336,0,0,1,18,33,33,18,1,0,0
P339,0,0,3,16,30,37,14,1,0,0
P344,0,0,8,8,28,47,13,0,0,0
P350,0,0,0,21,36,29,14,2,1,0
P356,0,0,4,17,29,39,18,0,0,0
P370,0,0,8,7,31,42,16,0,0,0
P372,0,0,3,18,24,46,12,0,0,0
P376,0,0,3,9,43,31,16,2,0,0
P386,0,1,0,17,18,55,12,0,0,0
P391,0,0,0,17,35,34,16,2,0,0
P402,0,1,3,9,33,41,17,0,0,0
P406,0,0,0,19,21,53,10,0,0,0
P418,0,0,6,11,32,40,15,0,0,0
P434,0,0,7,13,17,54,13,0,0,0
P438,0,0,3,20,23,39,17,1,0,0
P443,0,0,1,20,21,45,16,0,0,0
P446,0,1,4,9,32,47,8,0,0,0
P449,0,4,0,9,29,49,12,0,0,0
P453,0,0,9,5,27,53,11,0,0,0
P454,0,2,5,7,20,61,9,0,0,0
P459,0,1,7,4,31,49,11,0,0,0
P462,0,2,3,9,26,50,12,0,0,0
P464,0,0,1,20,21,54,12,0,0,0
P466,0,0,3,9,39,39,12,2,0,0
P477,0,0,0,11,47,27,17,1,0,0
P482,0,1,4,11,26,47,14,0,0,0
P484,0,0,2,19,20,49,13,0,0,0
P485,0,1,5,5,37,42,14,0,0,0
P486,0,2,4,9,28,46,14,0,0,0
P494,0,0,6,12,25,45,15,0,0,0
P497,0,0,3,19,29,35,18,0,0,0
P506,0,0,6,12,30,37,19,0,0,0
P511,0,0,0,26,18,45,11,2,0,0
P513,1,0,2,9,35,43,13,0,0,0
P526,0,0,10,5,32,43,13,0,0,0
P549,0,0,2,20,16,54,10,0,0,0
P555,0,0,3,19,23,39,20,0,0,0
P571,0,1,4,7,31,54,8,0,0,0
P573,0,0,0,26,14,51,12,2,0,0
P576,0,0,1,14,36,33,19,0,0,0
P580,0,0,4,16,22,47,14,1,0,0
P587,0,0,4,12,36,31,20,0,0,0
P592,0,0,4,15,25,47,12,0,0,0
P601,0,0,2,16,31,40,13,2,0,0
P615,0,0,4,12,34,35,19,0,0,0
P625,0,3,2,8,28,58,5,0,0,0
P632,0,0,6,14,19,51,14,0,0,0
P635,0,0,2,15,37,34,13,3,0,0
P654,0,0,0,21,27,36,18,1,0,0
P658,0,0,1,19,27,38,18,0,0,0
P672,0,0,4,16,23,46,14,1,0,0
P676,0,2,4,7,25,57,10,0,0,0
P704,0,1,3,14,26,47,13,0,0,0
P732,0,0,3,21,19,45,17,0,0,0
P753,0,3,0,10,26,56,9,0,0,0
P756,0,2,4,9,33,45,10,1,0,0
P758,0,0,1,17,31,36,19,0,0,0
P767,0,0,3,15,30,38,18,0,0,0
